,0
grossProfit,0.002104787557135638
totalRevenue,0.002219843143344803
costOfRevenue,0.0022988949517511337
costofGoodsAndServicesSold,0.0020532618202130596
operatingIncome,0.0018806646512281294
sellingGeneralAndAdministrative,0.0020248471545750435
operatingExpenses,0.00217906260994931
interestExpense,0.002133473742358659
depreciationAndAmortization,0.002079941257305931
incomeBeforeTax,0.002281781727136955
incomeTaxExpense,0.0020971257511650685
netIncomeFromContinuingOperations,0.0022312630647963014
comprehensiveIncomeNetOfTax,0.002045957365916704
ebit,0.0022969298475712437
ebitda,0.0023294709907915583
netIncome_x,0.0021389758439129933
totalAssets,0.0021116791552237635
totalCurrentAssets,0.0025840929682985803
cashAndCashEquivalentsAtCarryingValue,0.00207296245739709
cashAndShortTermInvestments,0.0021672621433069575
totalNonCurrentAssets,0.0024786942296744197
propertyPlantEquipment,0.0023379764863903554
otherCurrentAssets,0.0031053299866497437
otherNonCurrrentAssets,0.002832775321088424
totalLiabilities,0.0021881758272851684
totalCurrentLiabilities,0.002265454508424113
totalNonCurrentLiabilities,0.0021719562741199633
shortLongTermDebtTotal,0.0020295306398314754
otherCurrentLiabilities,0.0024234565987590303
totalShareholderEquity,0.002022028268546034
retainedEarnings,0.0024498085115725408
commonStock,0.0021823463760593754
commonStockSharesOutstanding,0.002853782162300652
operatingCashflow,0.0022591219187102513
depreciationDepletionAndAmortization,0.00207178531881822
capitalExpenditures,0.0021829337905096054
profitLoss,0.0019773792508927103
cashflowFromInvestment,0.0021524380064424876
cashflowFromFinancing,0.0021337500758955457
proceedsFromRepurchaseOfEquity,0.0019434990672933714
changeInCashAndCashEquivalents,0.0020836920728634144
netIncome_y,0.0022529568103220993
reportedEPS,0.0028176822810863306
estimatedEPS,0.002323631271427896
surprise,0.0029697737589885324
surprisePercentage,0.003260762062357645
gros_tota,0.0029308678510907658
gros_cost,0.002489852151413897
gros_oper,0.0020004745265499928
gros_sell,0.002564824954279746
gros_inte,0.002651031924769478
gros_depr,0.00253834501119917
gros_inco,0.0019007767045016175
gros_netI,0.0022659994808035006
gros_comp,0.0020174791937064025
gros_ebit,0.0027778232304419633
gros_cash,0.0021337276399738857
gros_prop,0.0028404667841528813
gros_othe,0.002116434880205677
gros_shor,0.002209404649690671
gros_reta,0.002405081448425827
gros_comm,0.002479809283853483
gros_capi,0.00248590683296162
gros_prof,0.00210850920216419
gros_proc,0.0019671862141814886
gros_chan,0.0020283569374328473
gros_repo,0.0022458594288429813
gros_esti,0.0024330047468592826
gros_surp,0.002537533875943315
cost_tota,0.003059212113348553
cost_cost,0.0016136443663987438
cost_oper,0.0022293041839349004
cost_sell,0.002277362303374872
cost_inte,0.0024750419501328898
cost_depr,0.0019755208672736515
cost_inco,0.00228437641145298
cost_netI,0.0021815723547664884
cost_comp,0.002137896863220932
cost_ebit,0.002597603376035328
cost_cash,0.0025009680625471516
cost_prop,0.002402920198416554
cost_othe,0.002433142839820276
cost_shor,0.002437595046873666
cost_reta,0.002630453850866567
cost_comm,0.002400767243924552
cost_capi,0.0019306341293601251
cost_prof,0.0019402740991252404
cost_proc,0.0016024369034877766
cost_chan,0.0019246150587672265
cost_repo,0.0025638298187923366
cost_esti,0.002546208618828745
cost_surp,0.0024760801793116847
oper_tota,0.0026180259415995626
oper_cost,0.0022512300878145645
oper_sell,0.002292286066350387
oper_oper,0.002338711385947274
oper_inte,0.002399774410086151
oper_depr,0.002354723592917164
oper_inco,0.001936978696078427
oper_netI,0.0021531264196930928
oper_comp,0.0021212305992549235
oper_ebit,0.0024629020191161465
oper_cash,0.0021716950938847233
oper_prop,0.0023832795720956377
oper_othe,0.0021669639572061117
oper_shor,0.0018989435950045102
oper_reta,0.0024258305823775896
oper_comm,0.0026029990278027414
oper_capi,0.0022007043929141257
oper_prof,0.0021735250682212532
oper_proc,0.001750978769077048
oper_chan,0.0018875533966118995
oper_repo,0.00219152817850388
oper_esti,0.0026670183352462407
oper_surp,0.0024368673525788113
depr_tota,0.0023535494071279
depr_cost,0.002230116190460657
depr_sell,0.0022520700561858096
depr_inte,0.002523042433590636
depr_inco,0.0023795874641086793
depr_netI,0.0020487566451659247
depr_comp,0.0018274700085488108
depr_ebit,0.002416380379494091
depr_cash,0.002201855333938622
depr_prop,0.0024278079768165657
depr_othe,0.002567590401031351
depr_shor,0.0020677698586085594
depr_reta,0.002324372329985831
depr_comm,0.0023498766069005046
depr_oper,0.0021249500139560603
depr_depr,0.0016315603991546184
depr_capi,0.0019193176158679916
depr_prof,0.0017007371437468802
depr_proc,0.0017515791990569485
depr_chan,0.002014036721151564
depr_repo,0.0022785509488780944
depr_esti,0.002514382697312857
depr_surp,0.002584667303499651
inco_tota,0.0024834560962195794
inco_cost,0.0019198124203275893
inco_sell,0.0020224143306657137
inco_inte,0.002393677744730057
inco_inco,0.0021955778104335998
inco_netI,0.0019335403041508014
inco_comp,0.0014848404846701968
inco_ebit,0.0022753158225976935
inco_cash,0.0020911762474262303
inco_prop,0.0020840535529841617
inco_othe,0.0019426610663931044
inco_shor,0.0019510713747548192
inco_reta,0.0025008546349669664
inco_comm,0.002063375267292322
inco_oper,0.002009134576320394
inco_depr,0.0018186332513087172
inco_capi,0.0019918838861703882
inco_prof,0.0017025289639787358
inco_proc,0.0016870827420297984
inco_chan,0.0017775444931269597
inco_repo,0.0022137146859770203
inco_esti,0.002250794148678178
inco_surp,0.0019887392540634805
comp_tota,0.0015033944368261327
comp_cost,0.0017113588148872814
comp_sell,0.0019586413804802243
comp_inte,0.0020777542482648906
comp_inco,0.002125893925386423
