,0
surprisePercentage,0.004083713019539205
otherNonCurrrentAssets,0.003057364349410607
repo_proc,0.003032276010012267
oper_cash,0.0028905117835726734
tota_cash,0.0028825215419552887
reta_comm,0.002845458430010946
Label,0.002811996653489034
othe_netI,0.002802762433013266
comm_cost,0.0027958877003312448
gros_cash,0.0027896792651744325
gros_repo,0.0027859522579133213
depr_cash,0.002785145932138659
cash_netI,0.0027798422459145863
comm_chan,0.0027640793799292274
cost_surp,0.00275929176817523
ebit_shor,0.0027466710651810854
reta_surp,0.002745761424576618
comm_netI,0.0027398078769066995
comp_surp,0.0027327098148255766
surprise,0.002717551071726684
cost_comp,0.0027091007638675923
reta_netI,0.0026885434000873763
gros_surp,0.0026831598742879338
tota_reta,0.002678673143397614
othe_cash,0.0026699976967502733
comm_repo,0.0026693203451703482
cost_sell,0.0026547203049745753
oper_oper,0.0026468494991375145
depr_comp,0.0026356928538654877
cost_comm,0.00263440660338896
ebit_comm,0.0026263450196045775
othe_repo,0.0026104241405752056
othe_surp,0.002606730668464437
depr_sell,0.0025980211871766135
capitalExpenditures,0.002594962462668433
cash_inco,0.0025943977706091308
otherCurrentAssets,0.002593108833406723
tota_inte,0.0025887464789819503
gros_esti,0.002570975629691511
oper_chan,0.0025630453901314305
oper_comp,0.002560461672487137
comm_prop,0.0025558124107005996
gros_comp,0.002552862102111658
cash_sell,0.002548380729363266
gros_oper,0.002546174891032766
comm_esti,0.002543840485659466
commonStockSharesOutstanding,0.0025400359392736866
surp_esti,0.0025393682006707935
cost_oper,0.0025391721114059757
cash_depr,0.002535517628566431
depr_reta,0.0025260568306342463
oper_reta,0.002520463021185865
gros_sell,0.002518315026318115
cash_prop,0.002515365960346556
grossProfit,0.002513583695726492
comm_shor,0.002504687132362255
oper_tota,0.0024998770035764687
tota_esti,0.0024993075750194753
canarito_32,0.002497479905724885
tota_netI,0.0024955119408460076
othe_chan,0.0024899744341637265
operatingIncome,0.0024895623841575134
tota_sell,0.0024882585876771376
ebit_cost,0.0024850297416699496
tota_surp,0.0024841863538806043
comm_sell,0.002484162986522225
reportedEPS,0.0024776420899907774
tota_prop,0.002471939837997591
depr_tota,0.002470173291526386
tota_depr,0.0024687318485372657
ebitda,0.002459962990296285
cost_esti,0.0024589472621675957
canarito_95,0.0024548558868946794
reta_inco,0.0024530173343448782
comm_oper,0.0024474554377552854
canarito_73,0.002446662973264806
oper_comm,0.002445409550186015
totalCurrentAssets,0.0024443052681863814
repo_esti,0.0024437835911988314
operatingCashflow,0.002441173295317144
othe_inco,0.002441100932576572
canarito_6,0.002439000194242474
canarito_12,0.0024305210866061256
canarito_26,0.002426439951910355
costOfRevenue,0.002424237282154492
oper_inte,0.0024166050297475257
othe_shor,0.002414008617456348
ebit_prop,0.0024103635815542705
reta_chan,0.0024101692287275133
cost_cash,0.0024067902676678144
oper_ebit,0.002403459077494191
gros_inte,0.0024013592735852383
cost_chan,0.002399289709287473
tota_othe,0.002393965286015891
depr_prop,0.00239230160900796
comm_depr,0.0023865911430680673
canarito_58,0.0023865206567902655
ebit_netI,0.00238578757894317
cost_prop,0.0023852784336979693
canarito_10,0.0023851568192745313
canarito_84,0.002384495456060588
gros_comm,0.0023842445959700877
totalRevenue,0.002382077829372797
othe_inte,0.0023811773693936515
othe_prop,0.002376484693290644
depr_inte,0.0023762105411391007
gros_tota,0.002375965116470839
inco_cash,0.002374938599626238
canarito_33,0.002372966604852469
othe_reta,0.0023707917413218703
canarito_34,0.002369371255956081
depr_shor,0.002369070759825406
canarito_23,0.002368574606268386
ebit,0.0023676685484943
totalCurrentLiabilities,0.002365770497617974
ebit_depr,0.002363692344906004
othe_sell,0.0023582702487426896
reta_prop,0.0023580806402065018
ebit_surp,0.002357136723340614
canarito_83,0.0023522899635237252
gros_inco,0.0023518174593827063
canarito_97,0.0023512155521875854
comm_cash,0.002347835758505556
ebit_tota,0.0023473113646862278
gros_reta,0.0023469141023506933
canarito_75,0.0023459553573781395
cash_chan,0.002345356211666672
gros_cost,0.002340400598172865
cash_shor,0.0023387468211749584
canarito_57,0.0023377016039790826
reta_sell,0.0023355480659569034
reta_inte,0.002334016071099651
ebit_inte,0.0023332775263081628
otherCurrentLiabilities,0.0023315455259578445
gros_prop,0.0023301563313166424
canarito_38,0.002328434653550675
tota_chan,0.0023242986313866155
othe_ebit,0.00232347707984276
estimatedEPS,0.0023234548521431906
canarito_91,0.0023205860479665018
sellingGeneralAndAdministrative,0.0023201987207326553
ebit_sell,0.002319551833570462
canarito_15,0.0023120319814182748
reta_oper,0.00230759517899338
canarito_93,0.0023046586439273826
canarito_53,0.002304630886845302
comm_inte,0.002299683172730954
canarito_46,0.0022964901215077834
cost_shor,0.0022947793131785892
totalLiabilities,0.002292508316484303
canarito_22,0.002291434375883143
depr_repo,0.0022904792787588873
canarito_29,0.0022873415450335543
depr_depr,0.0022862473953431284
canarito_45,0.0022851112204569017
comp_netI,0.0022802516373041305
reta_ebit,0.0022789474471476136
inco_inco,0.0022784567690693693
oper_inco,0.0022784197142546895
reta_tota,0.002275937860294626
propertyPlantEquipment,0.002273985461045693
canarito_51,0.0022729948714210833
canarito_42,0.0022713006248864537
cost_cost,0.0022706039811077054
gros_shor,0.002270492617501077
canarito_5,0.0022703919747236625
cash_reta,0.002266351218500239
netIncomeFromContinuingOperations,0.0022562980341929544
cashflowFromInvestment,0.0022550913891540994
tota_inco,0.002254046631598242
canarito_89,0.002254031196520738
reta_depr,0.0022536663206065744
gros_chan,0.0022531196999650274
canarito_78,0.002252972268040257
